vote_id,code,interinstitutional_file_no,label,date,committee_responsible
38876,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38877,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38878,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38879,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38880,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38881,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38882,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38883,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38884,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38885,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38886,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38887,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38888,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38889,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38890,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38891,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38892,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38893,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38894,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38895,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38896,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38897,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38898,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38899,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38900,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38901,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38902,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38903,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
